物品ID,数量范围,拥有这个类型战利品的战利品表,其他信息
minecraft:acacia_wood,1~4,dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance,
minecraft:amethyst_shard,"2~4, 4~8","dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal",
minecraft:anvil,1,dungeons_arise:chests/foundry/foundry_passage_normal,
minecraft:apple,3~6,"dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal",
minecraft:arrow,"4~8, 8~16","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure",
minecraft:azalea_leaves,"1~2, 2, 2~3","dungeons_arise:chests/keep_kayra/keep_kayra_garden_normal
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/mushroom_village/mushroom_village_treasure",
minecraft:baked_potato,"12~18, 16~48, 1~8, 4~8","dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/mines_treasure_small
dungeons_arise:chests/mining_system/mining_system_barrels
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_ores
dungeons_arise:chests/mushroom_mines/mushroom_mines_tools
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:bamboo,"1~2, 1~3, 2~6","dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply",
minecraft:barrel,1~2,dungeons_arise:chests/greenwood_pub/greenwood_pub_normal,
minecraft:basalt,1~3,dungeons_arise:chests/foundry/foundry_passage_exterior,
minecraft:beef,8~12,"dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:beetroot,"1~2, 1~3, 1~8, 3~6","dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms",
minecraft:beetroot_soup,1,dungeons_arise:chests/merchant_campsite/merchant_campsite_supply,
minecraft:birch_sapling,"1, 1~3","dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms",
minecraft:blackstone,"1~2, 1~4","dungeons_arise:chests/foundry/foundry_chains
dungeons_arise:chests/foundry/foundry_passage_exterior",
minecraft:blaze_powder,"1~4, 4~8","dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/foundry/foundry_lava_pit
dungeons_arise:chests/foundry/foundry_passage_normal
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal",
minecraft:blaze_rod,1~2,"dungeons_arise:chests/foundry/foundry_lava_pit
dungeons_arise:chests/foundry/foundry_passage_normal",
